名称,省,市,县,地址,介绍,985,211,软科排名,学校类型,学校属性,特色专业,2021分数线,2020分数线,2019分数线
宿州航空职业学院,安徽,宿州市,宿州马鞍山现代产业园区,安徽省宿州市宿马园区马鞍山大道588号,宿州航空职业学院是经安徽省人民政府批准，教育部备案，纳入统一招生计划的全日制高等职业院校。学院位于宿州市宿马现代产业园，集“人文、国际、经典、科技”于一体的英伦校园，是泛美教育集团打造的又一艺术传奇。学院航空实训中心设施先进，配置齐全。学院立足安徽、面向长三角、服务航空产业，培养高素质技术技能型人才，初期开设无人机应用技术、民航运,否,否,,,民办,[], 理科：226.00 文科：200.00 ,,
浙江金华科贸职业技术学院,浙江,金华市,婺城区,浙江省金华市婺城区丹光东路456号,浙江金华科贸职业技术学院系浙江省人民政府批准、教育部备案的非营利性全日制民办高等职业院校。学院位于国家历史文化名城、浙江省第四大都市区金华市婺城区，比邻浙江师范大学。学院由浙江大昌集团在2000年合作举办浙江师范大学高等技术学院和2006年合作举办上海财经大学浙江学院的基础和校址上创办，2011年经浙江省人民政府批准筹建浙江科贸职业技术学院，2012年,否,否,,,民办,[],,,
上海南湖职业技术学院,上海,上海市,虹口区,上海市虹口区三门路661号,上海市南湖职业学校由原虹口区五所职业学校于2000年组建而成。学校现有三门路、密云路2个校区，占地面积137.6亩，建筑面积93927平米。学校现有教职工297人，在校生2434人。2000年学校经教育部批准为首批国家级重点职校，上海市现代化标志性职校，2015年被教育部、人社部、财政部命名为“国家中等职业教育改革发展示范校”。学校先后荣获全国职业教育先进单位、全国教科,否,否,,综合类,公办,"['融媒体技术与运营', '智能网联汽车技术', '汽车智能技术', '婴幼儿托育服务与管理', '酒店管理与数字化运营', '民宿管理与运营', '数字媒体技术', '虚拟现实技术应用', '新能源汽车检测与维修技术', '护理']", 文科：283.00 理科：266.00 ,,
通化医药健康职业学院,吉林,通化市,东昌区,吉林省通化市东昌区保安路1597号,"通化医药健康职业学院是由通化市人民政府举办的全日制、公办、专科层次的普通高等院校，2021年经由吉林省人民政府批准设立,由国家教育部备案，承接国家“一带一路”建设，落实吉林省“一主六双”区域协调发展以及“一区一基地”规划的双核心建设，全面对接东北振兴战略。学院坐落于享有“中国医药城”“中国森林城市”“全国创新能力百强市”等荣誉盛名的红色康",否,否,,,公办,"['护理', '健康管理', '口腔医学技术', '药学', '医学检验技术']",,,
吉林通用航空职业技术学院,吉林,吉林市,吉林高新技术产业开发区,吉林省吉林市高新北区科技大路中段吉林市职业教育园区,吉林通用航空职业技术学院是2021年1月15日经省政府批准设立的专科层次全日制公办普通高等职业学校，是一所具有通用航空产业特色，以培养航空类技术技能人才为主，以培养智能制造、交通运输、现代服务与教育等高素质技术技能人才为辅，服务省内乃至全国航空产业发展和地方经济建设的综合性高等职业院校。学院坐落于吉林市职业教育园区，占地面积38万平方米，建筑,否,否,,综合类,公办,"['飞机电子设备维修', '空中乘务', '无人机应用技术', '机电一体化技术', '机械制造及自动化', '汽车制造与试验技术', '学前教育']",,,
邢台应用技术职业学院,河北,邢台市,威县,河北省邢台市威县高新区开放东路,"邢台应用技术职业学院是经河北省人民政府批准、国家教育部备案的全日制普通高等专科职业院校，具有独立颁发国家承认学历证书的资格。学院由四川希望教育产业集团有限公司投资兴建，是教育部重点关注的区域振兴教育帮扶项目。学院位于河北省园林城市---邢台威县。校园占地面积500余亩，建筑面积约24万平米,规划全曰制在校学生规模8000人。学院现设有汽车工程系、信",否,否,,其他,民办,"['农村电子商务', '婴幼儿托育服务与管理', '健康管理', '新能源汽车检测与维修技术', '大数据技术']",,,
重庆移通学院德国工程学院,重庆,重庆市,合川区,重庆市合川区假日大道1号,德国工程学院是重庆移通学院的二级学院，设有经教育部批准的电气工程及其自动化（中外合作办学）、机械设计制造及其自动化（中外合作办学）两个本科项目，与海德堡应用技术大学、北黑森应用技术大学、安哈尔特应用技术大学等10多所德国合作院校签订合作协议，已顺利送出近千名学生至德国合作大学就读，在校预备赴德国留学学生1700余人。2014年1月，经教育部(教外,否,否,,理工类,中外合作办学,"['电气工程及其自动化（中外合作办学）', '机械设计制造及其自动化（中外合作办学）']",,,
香港恒生大学,香港,新界,沙田区,香港新界沙田小沥源行善里香港恒生大学袁炳涛校园N座大楼1楼 ,香港恒生大学（恒大）的历史可追溯至1980年恒生商学书院（恒商）成立之时。恒商由何善衡慈善基金会、何添慈善基金会、大昌贸易行、若干恒生银行创办人及恒生银行慷慨捐资成立。从1980年至2009年，恒商的文凭与副学士学位课程在学界及商界甚具口碑，成绩斐然。香港行政长官于2009年度的施政报告指出，优良的私立大学在香港日趋重要。有见及此，恒商于2010年改组成为恒,否,否,,综合类,民办,"['精算及保险（荣誉）理学士', '计算机应用（荣誉）理学士', '艺术设计（荣誉）文学士', '亚洲研究（荣誉）社会科学学士', '工商管理（荣誉）学士', '中文（荣誉）文学士', '融合媒体及传播科技（荣誉）文学士', '企业管治与合规工商管理（荣誉）学士', '文化及创意产业（荣誉）文学士', '数据科学及商业智能学（荣誉）理学士']",,,
电子科技大学格拉斯哥学院,四川,成都市,郫都区,四川省成都市高新区（西区）西源大道2006号电子科技大学主楼A1区3楼,2012年10月，西南地区首个与世界百强名校合作举办成规模的本科层次、颁发双学位的合作办学项目——电子科技大学与英国格拉斯哥大学合作举办的“电子信息工程专业”本科教育项目获得教育部批准（教育部批准号：MOE51UK2A20121313N）。2013年1月，为承载该合作办学项目，电子科技大学第一个为合作办学设立的二级学院——格拉斯哥联合学院（UoG-UESTCJointschool）正式成立。同年,是,是,,理工类,中外合作办学,"['电子信息工程（中外合作办学）', '通信工程（中外合作办学）', '微电子科学与工程（中外合作办学）']",,,
广州幼儿师范高等专科学校,广东,广州市,天河区,"科教城校区：广东省广州市增城区朱村街秀山村,永福校区：广东省广州市越秀区先烈东横路60-1号",广州市幼儿师范学校直属广州市教育局，是一所培养幼儿师资和艺术类人才的全日制公立省级重点中等职业学校，同时也是省、市学前教育职后培训基地。学校现有2个校区（林和校区、永福校区），60个教学班（包括：55个普通教学班、4个高职班、1个华文班），全日制在校生3006人，设有儿童心理实验室、奥尔夫音乐教室、早期教育实训室、钢琴练习室、陶艺室、舞蹈室、电脑,否,否,,,公办,"['美术教育', '学前教育', '音乐教育', '早期教育']",,,
